K,S,q,r,sigma,t,price
50.0,90.0,0.01,0.1882,0.7066863283197075,0.5,1.2638697237921797
50.0,90.0,0.01,0.1882,0.7066863283197075,0.75,2.1640974587116277
50.0,90.0,0.01,0.1882,0.7066863283197075,1.0,2.920005952300636
50.0,90.0,0.05455,0.01,0.001,0.25,0.0
50.0,90.0,0.05455,0.01,0.001,0.5,0.0
50.0,90.0,0.05455,0.01,0.001,0.75,0.0
50.0,90.0,0.05455,0.01,0.001,1.0,0.0
50.0,90.0,0.05455,0.01,0.1611177812950031,0.25,2.9512766801316316e-13
50.0,90.0,0.05455,0.01,0.1611177812950031,0.5,4.871569304167597e-07
50.0,90.0,0.05455,0.01,0.1611177812950031,0.75,7.336251469317772e-05
50.0,90.0,0.05455,0.01,0.1611177812950031,1.0,0.0010091950461032664
50.0,90.0,0.05455,0.01,0.26330071698522917,0.25,1.0838951352512912e-05
50.0,90.0,0.05455,0.01,0.26330071698522917,0.5,0.004097049691165171
50.0,90.0,0.05455,0.01,0.26330071698522917,0.75,0.03676006770007731
50.0,90.0,0.05455,0.01,0.26330071698522917,1.0,0.1215540824845406
50.0,90.0,0.05455,0.01,0.38590108597281136,0.25,0.005087736872619135
50.0,90.0,0.05455,0.01,0.38590108597281136,0.5,0.12475840806150551
50.0,90.0,0.05455,0.01,0.38590108597281136,0.75,0.437566293494869
50.0,90.0,0.05455,0.01,0.38590108597281136,1.0,0.8917466371757787
50.0,90.0,0.05455,0.01,0.7066863283197075,0.25,0.5007525071262225
50.0,90.0,0.05455,0.01,0.7066863283197075,0.5,2.081758577462643
50.0,90.0,0.05455,0.01,0.7066863283197075,0.75,3.8690801180226586
50.0,90.0,0.05455,0.01,0.7066863283197075,1.0,5.62095284242046
50.0,90.0,0.05455,0.05455,0.001,0.25,0.0
50.0,90.0,0.05455,0.05455,0.001,0.5,0.0
50.0,90.0,0.05455,0.05455,0.001,0.75,0.0
50.0,90.0,0.05455,0.05455,0.001,1.0,0.0
50.0,90.0,0.05455,0.05455,0.1611177812950031,0.25,1.0420299441415041e-13
50.0,90.0,0.05455,0.05455,0.1611177812950031,0.5,1.6696449996238742e-07
50.0,90.0,0.05455,0.05455,0.1611177812950031,0.75,2.4455467675344393e-05
50.0,90.0,0.05455,0.05455,0.1611177812950031,1.0,0.0003277290282908907
50.0,90.0,0.05455,0.05455,0.26330071698522917,0.25,7.167903355978907e-06
50.0,90.0,0.05455,0.05455,0.26330071698522917,0.5,0.0026279843220184105
50.0,90.0,0.05455,0.05455,0.26330071698522917,0.75,0.022943935820507168
50.0,90.0,0.05455,0.05455,0.26330071698522917,1.0,0.07398949977833147
50.0,90.0,0.05455,0.05455,0.38590108597281136,0.25,0.0041225333300652445
50.0,90.0,0.05455,0.05455,0.38590108597281136,0.5,0.09837791260476546
50.0,90.0,0.05455,0.05455,0.38590108597281136,0.75,0.3369729419533522
50.0,90.0,0.05455,0.05455,0.38590108597281136,1.0,0.6721650692602256
50.0,90.0,0.05455,0.05455,0.7066863283197075,0.25,0.4617261431639885
50.0,90.0,0.05455,0.05455,0.7066863283197075,0.5,1.8811962896235834
50.0,90.0,0.05455,0.05455,0.7066863283197075,0.75,3.4363365578473686
50.0,90.0,0.05455,0.05455,0.7066863283197075,1.0,4.91436393789933
50.0,90.0,0.05455,0.0991,0.001,0.25,0.0
50.0,90.0,0.05455,0.0991,0.001,0.5,0.0
50.0,90.0,0.05455,0.0991,0.001,0.75,0.0
50.0,90.0,0.05455,0.0991,0.001,1.0,0.0
50.0,90.0,0.05455,0.0991,0.1611177812950031,0.25,3.611751326249648e-14
50.0,90.0,0.05455,0.0991,0.1611177812950031,0.5,5.51984930524186e-08
50.0,90.0,0.05455,0.0991,0.1611177812950031,0.75,7.732150892920739e-06
50.0,90.0,0.05455,0.0991,0.1611177812950031,1.0,9.930607753697958e-05
50.0,90.0,0.05455,0.0991,0.26330071698522917,0.25,4.708794410312325e-06
50.0,90.0,0.05455,0.0991,0.26330071698522917,0.5,0.0016644046117479932
50.0,90.0,0.05455,0.0991,0.26330071698522917,0.75,0.01405904106277411
50.0,90.0,0.05455,0.0991,0.26330071698522917,1.0,0.04397130115226925
50.0,90.0,0.05455,0.0991,0.38590108597281136,0.25,0.0033306342724292682
50.0,90.0,0.05455,0.0991,0.38590108597281136,0.5,0.07714717135302973
50.0,90.0,0.05455,0.0991,0.38590108597281136,0.75,0.25743924222113507
50.0,90.0,0.05455,0.0991,0.38590108597281136,1.0,0.5014300002349251
50.0,90.0,0.05455,0.0991,0.7066863283197075,0.25,0.42540682412361736
50.0,90.0,0.05455,0.0991,0.7066863283197075,0.5,1.6974625282253923
50.0,90.0,0.05455,0.0991,0.7066863283197075,0.75,3.0455414149244286
50.0,90.0,0.05455,0.0991,0.7066863283197075,1.0,4.284828312990788
